"Reference Designator","Number","Name","Quantity","Version"
"Q4","1900161-1","IC,DIGITAL TRANSISTOR,W/RESISTOR NETWORK   BMP","1","1.17 (Design)"
"Q302","CC408638992","TRSTR N-CHANNEL PG-TSDSON-8 80V 12.3MOHM","1","1.8 (Design)"
"Q301","450042904","TRSTR N-CHANNEL DSOP ADVANCE(2-5S1A) 80V 4.0MOHM 116A","1","1.7 (Design)"
"Q2","CC408638992","TRSTR N-CHANNEL PG-TSDSON-8 80V 12.3MOHM","1","1.8 (Design)"
"Q1","450042904","TRSTR N-CHANNEL DSOP ADVANCE(2-5S1A) 80V 4.0MOHM 116A","1","1.7 (Design)"
"PIN7","848683033","SMT SSMC62X112-LF","1","5.1 (Design)"
"PIN6","848683033","SMT SSMC62X112-LF","1","5.1 (Design)"
"PIN5","848683033","SMT SSMC62X112-LF","1","5.1 (Design)"
"PIN4","848683033","SMT SSMC62X112-LF","1","5.1 (Design)"
"PIN3","848683033","SMT SSMC62X112-LF","1","5.1 (Design)"
"PIN2","848683033","SMT SSMC62X112-LF","1","5.1 (Design)"
"PIN13","848752411","CONNECTOR_PIN COPPER 0.062 IN   BMP","1","6.3 (Design)"
"PIN12","848752411","CONNECTOR_PIN COPPER 0.062 IN   BMP","1","6.3 (Design)"
"PIN11","848752411","CONNECTOR_PIN COPPER 0.062 IN   BMP","1","6.3 (Design)"
"PIN10","848752411","CONNECTOR_PIN COPPER 0.062 IN   BMP","1","6.3 (Design)"
"PIN1","848683033","SMT SSMC62X112-LF","1","5.1 (Design)"
"LBL1","848712410","LABEL POLYIMIDE 5UP WHITE 0.27   BMP","1","3.7 (Design)"
"L301","450047105","INDR CMME105T-4R7MS POWER CHOKE COIL 4.7UH +/-20% 1MHZ","1","1.8 (Design)"
"L1","450047105","INDR CMME105T-4R7MS POWER CHOKE COIL 4.7UH +/-20% 1MHZ","1","1.8 (Design)"
"IC301","450044583","IC 4.5V TO 65V CURR MODE SYNC BOOST CONT HTSSOP-20","1","1.4 (Design)"
"IC2","408530893","IC_OPAMP_COMPARATOR MSOP8 DUAL","1","1.18 (Design)"
"IC1","450044583","IC 4.5V TO 65V CURR MODE SYNC BOOST CONT HTSSOP-20","1","1.4 (Design)"
"CR302","408535843","DIODE SOD523 500MA 75V BIPOLAR   BMP","1","1.47 (Design)"
"CR2","1900002-3","DIO SOD-523 C1A2 5.6V +0.1/-0.1% 200MW","1","1.7 (Design)"
"CR1","408535843","DIODE SOD523 500MA 75V BIPOLAR   BMP","1","1.47 (Design)"
"C9","1655791-9","CAP CHIP 1UF 16V CERAMIC MONOLIT  BMP","1","1.42 (Design)"
"C8","408559784","CAP SMT 100PF +5/-5% 50V","1","1.23 (Design)"
"C7","450019199","CAP 1UF +10/-10% 100V 0805 X7S -55 TO 125","1","1.22 (Design)"
"C6","450019199","CAP 1UF +10/-10% 100V 0805 X7S -55 TO 125","1","1.22 (Design)"
"C5","450019199","CAP 1UF +10/-10% 100V 0805 X7S -55 TO 125","1","1.22 (Design)"
"C4","1655707-3","CAP CHIP CERAMIC MONOLIT","1","1.33 (Design)"
"C320","408543615","CAP SMT 0.1UF +10/-10% 5","1","1.34 (Design)"
"C319","450046976","CAP 4.7UF +10/-10% 50V 0805 X7S -55C TO 125C","1","1.6 (Design)"
"C318","450019199","CAP 1UF +10/-10% 100V 0805 X7S -55 TO 125","1","1.22 (Design)"
"C317","450019199","CAP 1UF +10/-10% 100V 0805 X7S -55 TO 125","1","1.22 (Design)"
"C316","450019199","CAP 1UF +10/-10% 100V 0805 X7S -55 TO 125","1","1.22 (Design)"
"C310","408543615","CAP SMT 0.1UF +10/-10% 5","1","1.34 (Design)"
"C309","1655791-9","CAP CHIP 1UF 16V CERAMIC MONOLIT  BMP","1","1.42 (Design)"
"C308","408559784","CAP SMT 100PF +5/-5% 50V","1","1.23 (Design)"
"C307","450019199","CAP 1UF +10/-10% 100V 0805 X7S -55 TO 125","1","1.22 (Design)"
"C303","408543615","CAP SMT 0.1UF +10/-10% 5","1","1.34 (Design)"
"C302","1-1655803-2","CAP CHIP 2.2UF 25V MONOLITHIC CE  BMP","1","1.25 (Design)"
"C301","450046976","CAP 4.7UF +10/-10% 50V 0805 X7S -55C TO 125C","1","1.6 (Design)"
"C3","408543615","CAP SMT 0.1UF +10/-10% 5","1","1.34 (Design)"
"C22","408543615","CAP SMT 0.1UF +10/-10% 5","1","1.34 (Design)"
"C20","408543615","CAP SMT 0.1UF +10/-10% 5","1","1.34 (Design)"
"C2","1-1655803-2","CAP CHIP 2.2UF 25V MONOLITHIC CE  BMP","1","1.25 (Design)"
"C19","450046976","CAP 4.7UF +10/-10% 50V 0805 X7S -55C TO 125C","1","1.6 (Design)"
"C18","450019199","CAP 1UF +10/-10% 100V 0805 X7S -55 TO 125","1","1.22 (Design)"
"C17","450019199","CAP 1UF +10/-10% 100V 0805 X7S -55 TO 125","1","1.22 (Design)"
"C16","450019199","CAP 1UF +10/-10% 100V 0805 X7S -55 TO 125","1","1.22 (Design)"
"C15","408518819","CAP 10000.0pF +10.0/-10.0% 25.0V X7R  BMP","1","1.26 (Design)"
"C14","408540760","CAP SMT 0.022UF +10/-10%","1","1.18 (Design)"
"C13","408562763","CAP SMT 47PF +5/-5% 50V C0G 0402","1","1.19 (Design)"
"C12","1655791-9","CAP CHIP 1UF 16V CERAMIC MONOLIT  BMP","1","1.42 (Design)"
"C11","1655791-5","CAP 0.47uF 25V 0603 10% X7R","1","1.39 (Design)"
"C10","408543615","CAP SMT 0.1UF +10/-10% 5","1","1.34 (Design)"
"C1","450046976","CAP 4.7UF +10/-10% 50V 0805 X7S -55C TO 125C","1","1.6 (Design)"
"BD1","8600097104P","PWB_ABXS003_AM1","1","1.5 (Design)"
"","408504413","INDIUM #241 SOLDER PASTE  TYPE   BMP","0.3","1.18 (Design)"
"","408534837","CMPD PD955M","0.02","1.9 (Design)"
